apart    adv.分别;相距
appearance   n.出现，来到;外观
apply    vt.应用，实施，使用
appoint  vt.任命，委任;约定
approach     vt.向⋯靠近 n.靠近
approve  vt.赞成，称许;批准
April    n.四月
arch     n.拱门 vt.用拱连接
arrange  vt.整理，分类，排列
arrow    n.箭;箭状物
ashamed  a.惭愧(的);羞耻(的)
Asia     n.亚洲
Asian    a.亚洲的 n.亚洲人
asleep   a.睡着的，睡熟的
assure   vt.使确信;向⋯保证
Atlantic     adj.大西洋的n.大西洋
attack   vt.&vi.&n.攻击，进攻
attempt  vt.尝试，试图 n.企图
attention    n.注意，留心;注意力
August   n.八月
aunt     n.伯母，婶母，姑母
authority    n.当局，官方;权力
automobile   n.汽车，机动车
autumn   n.秋，秋季
avenue   n.林荫道，道路;大街
avoid    vt.避免;回避，躲开
await    vt.等候，期待
awake    vt.唤醒 vi.醒
axe  斧头
bake     vt.烤，烘，焙;烧硬
balance  vt.使平衡;称 n.天平
bar  n.酒吧间;条，杆;栅
bare     a.赤裸的;仅仅的
bark     vi.吠叫
barn     n.谷仓;牲口棚
base     n.基础;基地，根据地
beach    n.海滩，湖滩，河滩
beam     n.梁;横梁;束，柱
bean     n.豆，蚕豆
beard    n.胡须，络腮胡子
beg  vt.&vi.请求，乞求
behold   v.目睹，看见
below    adv.在下面;向下
belt     n.带，腰带;皮带;区
bench    n.长凳
bend     vt.使弯曲 vi.弯曲
beneath  prep.在⋯下方
benefit  n.利益;恩惠;津贴
bent     a.弯曲的,决心的
berry    n.浆果(如草莓等)
beyond   prep.在⋯的那边
bid  vt.命令 vi.报价
bind     vt.捆，绑
birth    n.分娩;诞生;出身
birthday     n.生日
bite     vt.咬，叮，螫;剌穿
bitter   a.痛苦的;严寒的
blade    n.刀刃，刀片;叶片
blame    vt.责备，把⋯归咎于
blaze    vt.使燃烧 vi.燃烧
blessing     n.祝福
block    n.阻塞;障碍物;炮闩
bloom    vi.开花 n.花;开花
blossom  n.花，开花 vi.开花
boast    vi.自夸 vt.吹嘘
boil     vi.沸腾;汽化vt.煮沸
bold     a.大胆的;冒失的
boot     n.靴子，长统靴
border   n.边，边缘;边界
bore     vt.令(人)厌烦
bosom    n.胸，胸部;内心
bottle   n.瓶，酒瓶;一瓶
bound    a.一定的;有义务的
bowl     n.碗
brass    n.黄铜;黄铜器
breast   n.胸膛，胸部
breath   n.呼吸;气息
breathe  vi.&vt.呼吸
brick    n.砖，砖块;砖状物
brief    a.简短的;短暂的
British  adj.英国的
brush    n.刷子，毛刷;画笔
bud  n.芽，萌芽;蓓蕾
burst    n.突然破裂;爆发
bury     vt.埋葬，葬;埋藏
bush     n.灌木，灌木丛，矮树
calm     adj.平静的;沉着的
camp     n.野营，营地，兵营
ax   n.斧子
capital  n.资本，资金;首都
card     n.卡片;名片
carriage     n.客车厢;四轮马车
cast     vt.投，扔，抛;浇铸
castle   n.城堡;巨大建筑物
cat  n.猫，猫科，猫皮
cave     n.山洞，洞穴，窑洞
cease    vi.&vi.&n.停止，停息
celebrate    vt.庆祝;歌颂，赞美
central  a.中心的;主要的
century  n.世纪;百年
chamber  n.会议室;房间;腔
character    n.性格;特性;角色
